 Igor Akinfeev,Rusia,0,RUTA
 Igor Smolnikov,Rusia,0,RUTA
 Viktor Vasin,Rusia,0,RUTA
 Mario Fernandes,Rusia,0,RUTA
 Fedor Kudryashov,Rusia,0,RUTA
 Ilya Kutepov,Rusia,0,RUTA
 Dmitri Kombarov,Rusia,0,RUTA
 Aleksei Miranchuk,Rusia,0,RUTA
 Denis Glushakov,Rusia,0,RUTA
 Aleksandr Golovin,Rusia,0,RUTA
 Yuri Zhirkov,Rusia,0,RUTA
 Aleksandr Samedov,Rusia,0,RUTA
 Aleksandr Erokhin,Rusia,0,RUTA
 Alan Dzagoev,Rusia,0,RUTA
 Daler Kuzyayev,Rusia,0,RUTA
 Dmitry Poloz,Rusia,0,RUTA
 Fedor Smolov,Rusia,0,RUTA
 Aleksandr Kokorin,Rusia,0,RUTA
 Abdullah Al Mayouf,Arabia Saudí,0,RUTA
 Osama Hawsawi,Arabia Saudí,0,RUTA
 Abdullah Al Zori,Arabia Saudí,0,RUTA
 Mansoor Al Harbi,Arabia Saudí,0,RUTA
 Omar Hawsawi,Arabia Saudí,0,RUTA
 Yasser Al Shahrani,Arabia Saudí,0,RUTA
 Motaz Hawsawi ,Arabia Saudí,0,RUTA
 Mohammed Al Breik,Arabia Saudí,0,RUTA
 Taisir Al Jassim,Arabia Saudí,0,RUTA
 Salman Al Faraj,Arabia Saudí,0,RUTA
 Abdulmalek Al Khaibri,Arabia Saudí,0,RUTA
 Salman Al Moasher ,Arabia Saudí,0,RUTA
 Yahya Al Shehri ,Arabia Saudí,0,RUTA
 Salem Al Dawsari ,Arabia Saudí,0,RUTA
 Nawaf Al Abed,Arabia Saudí,0,RUTA
 Mohammad Al Sahlawi,Arabia Saudí,0,RUTA
 Nasser Al Shamrani ,Arabia Saudí,0,RUTA
 Fahad Al Muwallad ,Arabia Saudí,0,RUTA
 Essam El Hadary,Egipto,0,RUTA
 Ali Gabr,Egipto,0,RUTA
 Ahmed El Mohamady,Egipto,0,RUTA
 Omar Gaber,Egipto,0,RUTA
 Ramy Rabia,Egipto,0,RUTA
 Ahmed Hegazi,Egipto,0,RUTA
 Ahmed Abdelmonem Fathy,Egipto,0,RUTA
 Mohamed Abdel Shafy,Egipto,0,RUTA
 Saad Samir,Egipto,0,RUTA
 Tarek Hamed,Egipto,0,RUTA
 Mahmoud Kahraba,Egipto,0,RUTA
 Mohamed Elneny,Egipto,0,RUTA
 Mahmoud Trezeguet,Egipto,0,RUTA
 Abdallah Said,Egipto,0,RUTA
 Ramadan Sobhi,Egipto,0,RUTA
 Ahmed Hassan,Egipto,0,RUTA
 Mohamed Salah,Egipto,1,RUTA
 Amr Gamal,Egipto,0,RUTA
 Fernando Muslera,Uruguay,0,RUTA
 Maxi Pereira,Uruguay,0,RUTA
 Diego Godin,Uruguay,0,RUTA
 Martin Caceres,Uruguay,0,RUTA
 Jose Gimenez,Uruguay,0,RUTA
 Sebastian Coates,Uruguay,0,RUTA
 Gaston Silva,Uruguay,0,RUTA
 Mathias Corujo,Uruguay,0,RUTA
 Egidio Arevalo Rios,Uruguay,0,RUTA
 Alvaro Gonzalez,Uruguay,0,RUTA
 Nicolas Lodeiro,Uruguay,0,RUTA
 Carlos Sanchez,Uruguay,0,RUTA
